site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,2,fx16,16,False,False,11,True,11.34899616241455,11.34912109375,0.0,0,25459200,True,15.504508670572237,0.0
backbone.event_projection.seq_init.1.out,2,fx16,16,False,False,11,True,8.07373046875,8.07373046875,0.0,0,25459200,True,15.013235425078477,0.0
backbone.preproc_block_events.seq_init.1.in,2,fx16,16,False,False,11,True,9.204803466796875,9.20458984375,0.0,0,33945600,True,15.202353436559276,0.0
backbone.preproc_block_events.seq_init.1.out,2,fx16,16,False,False,12,True,4.290489196777344,4.29052734375,0.0,0,33945600,True,15.101154978600523,0.0
backbone.proc_event_blocks.0.seq_init.2.in,40,int8,16,False,False,,True,3.7665231227874756,3.777496337890625,7.105427357601002e-15,0,33945600,True,7.807354922057604,0.0
backbone.proc_event_blocks.0.seq_init.5.in,40,int8,16,False,False,,True,2.3131182193756104,2.3211097717285156,0.0,0,33945600,True,7.78135971352466,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,40,fx16,32,False,False,28,True,4.3172454833984375,4.3172454833984375,0.0,0,33945600,False,31.110111128382517,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,40,fx16,16,False,False,11,True,7.822406768798828,7.822265625,0.0,0,33945600,True,14.967586527296072,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,40,fx16,16,False,False,11,True,7.963837623596191,7.9638671875,0.0,0,33945600,True,14.993469161599247,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,40,fx16,32,False,False,16,True,48522.0,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,40,fx16,16,False,False,12,True,4.720926761627197,4.720947265625,0.0,0,31948800,True,15.239076367702294,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,40,fx16,16,False,False,12,True,4.769496440887451,4.76953125,0.0,0,31948800,True,15.253847484987404,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,40,fx16,16,False,False,10,True,23.306394577026367,23.306640625,0.0,0,102835200,True,15.542669167010825,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,102835200,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,40,fx16,32,False,False,16,True,48523.05859375,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,40,fx16,16,False,False,12,True,4.6523637771606445,4.65234375,0.0,0,31948800,True,15.217957697864113,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,40,fx16,16,False,False,12,True,4.579010486602783,4.5791015625,0.0,0,31948800,True,15.19506456372082,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,40,fx16,16,False,False,12,True,6.226001739501953,6.22607421875,0.0,0,31948800,True,15.638322774748687,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,40,fx16,16,False,False,12,True,6.22607421875,6.22607421875,0.0,0,31948800,True,15.638322774748687,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,40,fx16,32,False,False,28,True,6.22607421875,6.22607421875,0.0,0,31948800,False,31.638322774748687,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,40,fx16,16,False,False,11,True,8.586104393005371,8.5859375,0.0,0,31948800,True,15.101975670949232,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,40,fx16,16,False,False,11,True,9.10707950592041,9.10693359375,0.0,0,31948800,True,15.1869653642586,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,40,fx16,16,False,False,12,True,4.276435375213623,4.2763671875,0.0,0,31948800,True,15.096385734452651,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,40,fx16,16,False,False,12,True,4.2763261795043945,4.2763671875,0.0,0,31948800,True,15.096385734452651,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.in,40,fx16,32,False,False,16,True,48523.04296875,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,40,fx16,16,False,False,12,True,4.98763370513916,4.987548828125,0.0,0,31948800,True,15.318330965394926,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.out,40,fx16,16,False,False,12,True,4.886448860168457,4.886474609375,0.0,0,31948800,True,15.2887939952749,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.in,40,fx16,32,False,False,16,True,48523.04296875,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.hat,40,fx16,16,False,False,12,True,4.98763370513916,4.987548828125,0.0,0,31948800,True,15.318330965394926,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.out,40,fx16,16,False,False,12,True,5.308591842651367,5.30859375,0.0,0,31948800,True,15.40832974076739,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,40,fx16,16,False,False,8,True,60.604408264160156,60.60546875,0.0,0,96844800,True,14.921376076416081,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,96844800,True,15.0,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,40,fx16,32,False,False,16,True,48523.2109375,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.hat,40,fx16,16,False,False,12,True,5.070621967315674,5.070556640625,0.0,0,31948800,True,15.342144133537872,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.out,40,fx16,16,False,False,12,True,4.839417457580566,4.83935546875,0.0,0,31948800,True,15.274814914450836,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.in,40,fx16,16,False,False,12,True,5.12738037109375,5.12744140625,0.0,0,31948800,True,15.358239100426132,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.out,40,fx16,16,False,False,12,True,5.127440929412842,5.12744140625,0.0,0,31948800,True,15.358239100426132,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.in,40,fx16,32,False,False,28,True,5.12744140625,5.12744140625,0.0,0,31948800,False,31.358239100426132,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.hat,40,fx16,16,False,False,11,True,7.542459011077881,7.54248046875,0.0,0,31948800,True,14.915039055518614,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.out,40,fx16,16,False,False,11,True,7.847737789154053,7.84765625,0.0,0,31948800,True,14.972261848733291,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.in,40,fx16,16,False,False,12,True,5.284823894500732,5.284912109375,0.0,0,31948800,True,15.401879479096475,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.out,40,fx16,16,False,False,12,True,5.284911632537842,5.284912109375,0.0,0,31948800,True,15.401879479096475,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.in,40,fx16,32,False,False,16,True,48522.12109375,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.hat,40,fx16,16,False,False,12,True,4.740764617919922,4.74072265625,0.0,0,31948800,True,15.245106994381207,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.out,40,fx16,16,False,False,12,True,4.662492275238037,4.66259765625,0.0,0,31948800,True,15.221133942357078,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.in,40,fx16,32,False,False,16,True,48522.12109375,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.hat,40,fx16,16,False,False,12,True,4.740764617919922,4.74072265625,0.0,0,31948800,True,15.245106994381207,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.out,40,fx16,16,False,False,12,True,5.196034908294678,5.196044921875,0.0,0,31948800,True,15.37741390351215,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.in,40,fx16,16,False,False,8,True,56.59482955932617,56.59375,0.0,0,96844800,True,14.822570830950168,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.out,40,fx16,16,False,False,14,True,1.0,1.0,0.0,0,96844800,True,15.0,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.in,40,fx16,32,False,False,16,True,48521.77734375,32768.0,0.0,108,31948800,False,32.0,0.0003380408653846154
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.hat,40,fx16,16,False,False,12,True,4.729970455169678,4.72998046875,0.0,0,31948800,True,15.241834226335136,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.out,40,fx16,16,False,False,12,True,4.6417036056518555,4.6416015625,0.0,0,31948800,True,15.214622686302336,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.gelu1.in,40,fx16,16,False,False,12,True,5.599679470062256,5.599609375,0.0,0,31948800,True,15.485326189240524,0.0
